"";"data"
"974";"I've drank literally nothing but beer for 3 days ... What a great weekend #BritishGP"
"975";"#BritishGP #Silverstone50 #F1 #LewisHamilton http://t.co/qZm1Kd269h"
"976";"Video: Sebastian Vettel - #BritishGP Post-Race Interview https://t.co/3A1c95I7gQ #F1"
"977";"Epic F1 race today. Well done #lewis &amp; everyone who finished behind him were great too. Vettel v Alonso - epic!#Silverstone50 #BritishGP"
"978";"On our way home after an amazing #BritishGP awesome drive by @JensonButton so proud. Thank you @SilverstoneUK"
"979";"watch online for the qualifying run again http://t.co/9GiSjksHiZ #sebastianvettel #formula1 #f1 #redbull #britishgp #vettel #rb10 #hamilton"
"980";"Another shot of Mr John Surtees. Lovely chap.#JohnSurtees #F1 #BritishGP #Cars #Motoring #Ferrari… http://t.co/QJZC6jnrfF"
"981";".@ValtteriBottas delighted with second in  #BritishGP, but refuses to get ""carried away"" http://t.co/ZpdURvpuKC http://t.co/HKshNMuwOc"
"982";"RT @F1_Fans_Updates: NEXT @PitStopRadio is TOMORROW 8PM BST for our #F1 #BritishGP Race Review show! Join us: http://t.co/KCT3pdM6aQ   RT"
"983";"RT @sebvettelnews: Video: Sebastian Vettel vs Fernando Alonso - 2014 #BritishGP https://t.co/1kFv4evVAV #F1"
"984";"RT @BenIssatt: Hamilton wins, Rosberg retires at the British Grand Prix | BenIssattonTrack #F1 #BritishGP #Silverstone http://t.co/IanSbt0m…"
"985";"PHOTOS; @WilliamsRacing's @ValtteriBottas on track ... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/UXC2ALD3Jj"
"986";"RT @Porsche911UK: “@SDW911S: #BritishGP #silverstone @PorscheRaces close racing !! @joshjwebster #porschemotorsport http://t.co/eLpXZzn58g”…"
"987";"Just watched the GP Well done Lewis Hamilton!!!!! <U+0001F604><U+0001F389><U+0001F64C> #BritishGP"
"988";"#Kimi limping on the paddock  during race #Silverstone  #BritishGP #Ferrari http://t.co/ax0QNaQ9eI"
"989";"<U+041B><U+044C><U+044E><U+0438><U+0441> <U+0425><U+044D><U+043C><U+0438><U+043B><U+0442><U+043E><U+043D> <U+0432><U+044B><U+0438><U+0433><U+0440><U+0430><U+043B> <U+0413><U+0440><U+0430><U+043D>-<U+043F><U+0440><U+0438> <U+0412><U+0435><U+043B><U+0438><U+043A><U+043E><U+0431><U+0440><U+0438><U+0442><U+0430><U+043D><U+0438><U+0438> <U+0424><U+043E><U+0440><U+043C><U+0443><U+043B><U+044B>-1, <U+0411><U+0430><U+0442><U+0442><U+043E><U+043D> - <U+0447><U+0435><U+0442><U+0432><U+0435><U+0440><U+0442><U+044B><U+0439>, <U+041C><U+0430><U+0433><U+043D><U+0443><U+0441><U+0441><U+0435><U+043D> - <U+0441><U+0435><U+0434><U+044C><U+043C><U+043E><U+0439> #BelieveinMclaren #pinkforpapa #BritishGP"
"990";"PHOTOS; @InsideFerrari's @alo_oficial on track ... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/hOHaF7NOYX"
"991";"PHOTOS; @InsideFerrari's @alo_oficial on track ... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/iScbweYIBM"
"992";"Thanks @bbcf1 for a great #BritishGP show so good I had to see it twice! Oh and LEWIS YES!"
"993";"RT @jonesy_laaa: My #BritishGP Race Review is on #jonesonf1:- http://t.co/dVW4S74HVM #F1 #F1blog #F1extra"
"994";"Race re-start .... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/vz7PLA4TZ3"
"995";"RT @jonesy_laaa: My thoughts on Rosberg saying he could have won the #BritishGP is on #jonesonf1:- http://t.co/370yjKTiUv #F1 #F1blog #F1ex…"
"996";"Race re-start .... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/kWSGINeRZv"
"997";"Amazing day at #Silverstone for the #BritishGP get in Hamilton <U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7><U+0001F1EC><U+0001F1E7>"
"998";"@LewisHamilton #BritishGP 2014 winner! Fantastic race!!!! Next stop world championship #f1 #formula1"
"999";"RT @BenAndersonAuto: It enlivened the last part of the #BritishGP but Fernando Alonso knew he'd lose his fight with Sebastian Vettel #F1ht…"
"1000";"Results following #BritishGP in the #empsol #f1 league http://t.co/f5H6Z1EnX0"
"1001";"Results following #BritishGP in the #empsol #f1 league http://t.co/QnwFX8ZaHa"
"1002";"Race re-start .... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/MEbhOVVVlw"
"1003";"RT my nigga&gt; @LewisHamilton: #Silverstone #BritishGP #TEAMLH http://t.co/HsoLRA7pIp"
"1004";"@WilliamsRacing's crew ran out on the grid to repairs @MassaFelipe19's car.. @SilverstoneUK #Silverstone50 #BritishGP http://t.co/yxxBPP9Hji"
"1005";"RT @GPF1cz: JUMP! RT @bbcf1 Watch as Esteban Gutierrez sends Pastor Maldonado flying during the #BritishGP http://t.co/GaoqfGdSZc http://t.…"
"1006";"RT @sebvettelnews: Sebastian Vettel: It felt very close with Fernando – maybe a bit too close! http://t.co/tmXFk52a0s #BritishGP #F1 http:/…"
"1007";"The best #BritishGP for 6 years. No guessing why @LewisHamilton #TeamLH #HAMmertime"
"1008";"&lt; To the Brits following me and reading this, I congratulate you in being a light bearer for the sport. #BritishGP proved this point today"
"1009";"<U+0414><U+0440><U+0443><U+0436><U+0431><U+0430> <U+0434><U+0440><U+0443><U+0436><U+0431><U+043E><U+0439>, <U+0430> <U+043F><U+043E><U+0431><U+0435><U+0434><U+044B> <U+0432><U+0440><U+043E><U+0437><U+044C>. @SkySportsF1 http://t.co/soJ6qHFcjW #BritishGP #SkyF1 http://t.co/qu7gDHylzo"
"1010";"@LewisHamilton great drive Lewis, proud of you. #BritishGP"
"1011";"Cracking day out at @SilverstoneUK watching this fella win with @GGraulich #BritishGP #F1 #Hamilton http://t.co/vu3tSoejRF"
"1012";"He loves the F1 :) future @JensonButton maybe?? #BritishGP http://t.co/5zpAzmqskm"
"1013";"@MassaFelipe19, bad luck in his 200th GP .... @WilliamsRacing @SilverstoneUK #Silverstone50 #BritishGP #F1 #FM200 http://t.co/1E8336yIbv"
"1014";"Congratulations! Amazing performance today to win #BritishGP #F1 @LewisHamilton @MercedesAMGF1."
"1015";"Going to watch the #BritishGP is one thing but seeing @LewisHamilton win it and do doughnuts right in front of you is another!! #Priceless"
"1016";"It enlivened the last part of the #BritishGP but Fernando Alonso knew he'd lose his fight with Sebastian Vettel #F1http://t.co/iEVT93zmDa"
"1017";"#Bemydate #Britishgp #Np #Wimbledon2014 #Uganda #Worldcup #Worldcup2014 #Crc #Arg #Ned #TT31822"
"1018";"A race to forget ... @MassaFelipe19 @WilliamsRacing @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/WtxtEEeDKY"
"1019";"Fantastic weekend #F1 #BritishGP . Congratulations @LewisHamilton ... Fantastic to see you win @SilverstoneUK again http://t.co/gR23zLZZRh"
"1020";"Appropriate picture for today. #BritishGP #Maldonado http://t.co/ddRwFbQZsf"
"1021";"Dat reclamebord op de achtergrond maakt Pastor Maldonado tot luchtpost #BritishGP http://t.co/jYMpH9azsF http://t.co/rCNCXhspgm"
"1022";"Just catching up on the great sport from today. Can live without the World Cup after all. #wimbledon #tdf #britishgp"
"1023";"Congratulations to Jenson Button on his 4th place! @JensonButton #pinkforpapa #BritishGP #Formula1 #F1 http://t.co/e8QccOGYRH"
"1024";"RT @sebvettelnews: David Coulthard: It's amazing how Alonso &amp; Vettel can fight so close without touching, while the bottom of the grid can'…"
"1025";"RT @Sky_Ller: Hope it stays this way!! RT ""@loose_wheel_nut Every single time... @alo_oficial #SebastianVettel #F1 #BritishGP http://t.co/k…"
"1026";"Eric Clapton at @SilverstoneUK today ... #Silverstone50 #BritishGP #F1 http://t.co/Mi4YTzeQpX"
"1027";"The man himself, with his famous notebook as well. @tedkravitz #tedsnotebook #BritishGP @SkySportsF1 http://t.co/zhGt9SXWHt"
"1028";"Lewis and his championship really needed this win, now 4 points behind Rosberg. The fight is really on now! #F1 #BritishGP"
"1029";"RT @PUSHA_T: And just as I predicted... Congrats @lewishamilton #silverstone #BritishGP #1stPlace http://t.co/9NKr6UawmD"
"1030";"How 'bout @danielricciardo continuing to take it to 4-time champ Vettel? The kid is an absolute stud! #BritishGP #F1"
"1031";"RT @SkySportsF1: Kimi Raikkonen in doubt for Silverstone test but Ferrari expect him to be fit for German GP: http://t.co/HIMeyVqIFp #Briti…"
"1032";"RT @sebvettelnews: Wheel to wheel racing by Sebastian Vettel &amp; Fernando Alonso #BritishGP #F1 http://t.co/BIomgo6eKI"
"1033";"RT @ToroRossoSpy: #BritishGP #Silverstone50, full report on today's race is available here, http://t.co/XzHkywZMmN @SilverstoneUK http://t.…"
"1034";"PHOTOS; @ToroRossoSpy's @jeanericvergne before race .... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/eHpBMHTvma"
"1035";"#jensenbutton #pinkforpapa #britishgrandprix #britishgp #silverstone #f1 #mclaren http://t.co/bUZNL2K0t1"
"1036";"@Lotus_F1Team  Thankyou for being such a great team both on &amp; off the track! #BritishGP"
"1037";"PHOTOS; @Dany_Kvyat w/ Marco Mattasa on the grid before race started at @SilverstoneUK.. @ToroRossoSpy #BritishGP #F1 http://t.co/XEkdeAS8tP"
"1038";"yes! @lewishamilton #winner #britishgp #teamlh http://t.co/yMvvSCF8fW"
"1039";"<U+0001F3C1> Brilliant day at Silverstone for the #BritishGP #Silverstone50 #F1 <U+0001F3C1> http://t.co/p4EvPXTHJd"
"1040";"I would have loved @JensonButton to get on the podium today. A true sportsman. #BritishGP"
"1041";"Novo wants to congratulate Lewis Hamilton for the win today on the home circuit Silverstone! #britishgp #teamhamm http://t.co/OXFLAD1nhB"
"1042";"Day 58 #100HappyDays: THE MOST AWESOMEREST #BRITISHGP EVER! So much love for @LewisHamilton's win &amp; @JensonButton's near podium! #F1 #TeamGB"
"1043";"Wait ! Hamilton won ? #BritishGP"
"1044";"“@LewisHamilton: #Silverstone #BritishGP #TEAMLH http://t.co/GyhMm0mrtt”"
"1045";"What a weekend @SilverstoneUK for the #BritishGP topped off by @LewisHamilton! Incredible atmosphere and experience http://t.co/DNtvvecJAK"
"1046";"@InsideFerrari's @alo_oficial :-) .... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/AibAewE32I"
"1047";"Today I went to the #BritishGP - somehow found myself here. Bravo @LewisHamilton and @MercedesAMGF1 #HomeWin <U+0001F44D><U+0001F3C6> http://t.co/itQcrlyc1E"
"1048";"RT @RachelBrookesTV: Fast car blasts out of the Mercedes garage as they show off the trophy to the fans #BritishGP #silverstone http://t.co…"
"1049";"Una casa #BritishGP victoria impresionante para @LewisHamilton!  Felicidades a nuestro #SilverStunners @MercedesAMGF1 http://t.co/ocOyk3Ildp"
"1050";"#Bemydate #Britishgp #Np #Wimbledon2014 #Uganda #Worldcup #Worldcup2014 #Crc #Ned #Arg #TT31821"
"1051";"@RAFRed10 was watching from Luffield Corner brilliant display as ever! See you next week @airtattoo @RIAT_UPDATES #redarrows #BritishGP"
"1052";"heart stopping moment when kimi hit the wall... #ferrari #britishgrandprix #silverstone #f1 #britishgp http://t.co/bYesg2bfoo"
"1053";"Sunburnt &amp; buzzing. Fab day <U+0001F60D><U+0001F3C1><U+2600><U+FE0F> can't wait until next year. #BritishGP"
"1054";"@InsideFerrari's @alo_oficial w/ @WilliamsRacing's @MassaFelipe19  .. @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/8nolbNRQKs"
"1055";"@InsideFerrari's @alo_oficial w/ @WilliamsRacing's @MassaFelipe19  .. @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/KzBOggRs77"
"1056";"RT @burn: #F1 royalty, and Prince Harry #Silverstone #BritishGP #FuelYourFire RT @PFF1: http://t.co/WPy8vGYBeT"
"1057";"Daniel KitKat! Fucking brilliant! @tony_jardine #Silverstone50 #BritishGP"
"1058";"RT @SimoBasket21: Ma cosa cazzo?#F1 #BritishGP"
"1059";"RT @SimoBasket21: Diobò che botta,Kimi!#BritishGP"
"1060";"What a day. And what a win by @LewisHamilton doing it for Britain! #BritishGP http://t.co/MRYUquqt4J"
"1061";"My thoughts on Rosberg saying he could have won the #BritishGP is on #jonesonf1:- http://t.co/370yjKTiUv #F1 #F1blog #F1extra"
"1062";"@F1onNBCSports close only counts in horseshoes and hand grenades.  Better luck next year Jenson  #BritishGP"
"1063";"RT @BetVictor: Quite a delay at Silverstone due to crash involving Raikkonen who has retired, Massa and Kobayashi. #F1 #BritishGP"
"1064";"“@LewisHamilton: #Silverstone #BritishGP #TEAMLH http://t.co/xCpWTylD1R” fantastic win <U+0001F3C1><U+0001F1EC><U+0001F1E7>"
"1065";"Had a brilliant few days at the #BritishGP great to see @LewisHamilton win!! #TeamLH #Silverstone50"
"1066";"Who was your #BritishGP driver of the day? A difficult question, I know! So many great performances #F1"
"1067";"What a truly amazing #BritishGP at #Silverstone50  and a great coverage by the BBC. Thanks @suziperry @therealdcf1"
"1068";"Such a brilliant day at @SilverstoneUK  today. @LewisHamilton and @JensonButton did us proud #BritishGP http://t.co/mo0Ku5c0bv"
"1069";"@ToroRossoSpy's @Dany_Kvyat before drivers' parade prior to race at @SilverstoneUK .. #Silverstone50 #BritishGP #F1 http://t.co/IU6FGF9Pou"
"1070";"Knew Hamilton would win the #BritishGP gut instinct"
"1071";"RT @SimoBasket21: Che cazzo di sorpasso ha fatto?#VamosSamurai #BritishGP"
"1072";"4 championships mean nothing wrt #Vettel. Time and again he is proving that with his driving, today with @alo_oficial #BritishGP #crybaby"
"1073";"@ToroRossoSpy's @Dany_Kvyat &amp; @WilliamsRacing's @ValtteriBottas ... @SilverstoneUK #Silverstone50 #BritishGP #F1 http://t.co/IwXEPu0KNn"
"1074";"RT @redbullracing: Michael Fassbender, @AussieGrit , @carlosainz &amp; @afelixdacosta watching the intense quali sessions at the #BritishGP htt…"
"1075";"PORRA #BritishGP #F1 actualizada. #PF1TR Res. Ofi. FIA:* http://t.co/fqhp7wr1vk* http://t.co/xN3q4cTI6X* http://t.co/1fKgqIHqWu"
"1076";"RT @SPEED: .@LewisHamilton Wins Home Grand Prix As @Nico_Rosberg Retires: http://t.co/6Z4KMtS1Q7 | #F1 @MonsterEnergy #BritishGP http://t.c…"
"1077";"RT @Jason_Pope: @harry1611 @CarrianneN  Vettel exiting Vale, morning practice #britishgp 4/7/2014 http://t.co/0pbyMt9Air"
"1078";"“@LewisHamilton: #Silverstone #BritishGP #TEAMLH http://t.co/3AQQrO8lcd” - way to go Lewis! Well deserved."
"1079";"Finally caught up on the British GP. Great drive @LewisHamilton, title fight well and truly back on! #BritishGP #TeamLH #GoHamilton"
"1080";"Someone explain how @LewisHamilton won the #BritishGP #toplad well done"
"1081";"@ToroRossoSpy's @Dany_Kvyat before drivers' parade prior to race at @SilverstoneUK .. #Silverstone50 #BritishGP #F1 http://t.co/IYklj62mEC"
"1082";"@ToroRossoSpy's @Dany_Kvyat before drivers' parade prior to race at @SilverstoneUK .. #Silverstone50 #BritishGP #F1 http://t.co/rMvWZ4yvWv"
"1083";"#Bemydate #Britishgp #Np #Wimbledon2014 #Uganda #Worldcup #Worldcup2014 #Crc #Ned #Arg #TT31820"
"1084";"PODIO @LewisHamilton @ValtteriBottas @danielricciardo #britishGP @F1 @MercedesAMGF1 @WilliamsRacing @redbullracing http://t.co/mzfF6w5gLe"
"1085";"Tough outing for @clubforce - at least @NicoHulkenberg maintained his point scoring record. @SChecoPerez fought valiantly. #BritishGP #F1"
"1086";"#F1 - Hamilton: “Mondiale riaperto” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1087";"@danielricciardo &amp; his race engineer Simon Rennie before race started at @SilverstoneUK ... @redbullracing #BritishGP http://t.co/hGbMaLsLWL"
"1088";"RT @FlorianKoenig1: Unsere Mauer stand. Danke für euer Lob, die Anregungen und auch die Kritik! #rtlformel1 #BritishGP http://t.co/7bMOpfHj…"
"1089";"“@bbcf1: Watch as Esteban Gutierrez sends Pastor Maldonado flying during the #BritishGP http://t.co/eqUREQhvN5” looks amazing<U+261D><U+FE0F>"
"1090";"A dwóch Brytyjczyków na podium to bylaby gratka dla kibiców #BritishGP"
"1091";"#F1 - Bottas: “Il prossimo passo della Williams sarà quello di battere le Mercedes” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1092";"#F1 - Alonso: “Una gara movimentata” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1093";"#F1 - Vettel: “Alonso ama lamentarsi” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1094";"RT @TeamHulkenberg: The Germans stand together! (Via Twitter: @HeikoWasser) #BritishGP http://t.co/IBRIfn3kpE"
"1095";"RT @McLarenF1: It's time. Get in on the action with #McLarenLIVE: http://t.co/JaTuZVRc0K #BelieveInMcLaren #BritishGP http://t.co/1btVc9N655"
"1096";"Certain things catch your eye, but pursue only those that capture the heart.#TeamFederer #BritishGP #EssenceFest #UFC175"
"1097";"#F1 - Button: “Con un giro in più sarei arrivato terzo” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1098";"RT @bbcf1: Live coverage of #BritishGP  on @bbctwo now and via live text http://t.co/LmWC43GtAN http://t.co/P2xti6rtBz"
"1099";"#F1 - #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone http://t.co/5Y7hVTveex"
"1100";"Yes! Huge congrats to @LewisHamilton &amp; all of #teamlh for today's #BritishGP win. #Result!"
"1101";"After #Wimbledon, #BritishGP and the #TourDeYorkshire, here's a Blog Update: #BrokeButStoked - remaining positive... http://t.co/56QO1jILRW"
"1102";"Watching the #BritishGP just proved the power motorsport still has in the UK. Hope representatives from Motorsport SA were watching &gt;"
"1103";"Lewis Hamilton's #BritishGP win , a brush w/ Michael Fassbender +matters arising:our Sunday podcast from Silverstone. http://t.co/IRemI4Xi7r"
"1104";"One more lap &amp; @JensonButton would have been on that podium #BritishGP"
"1105";"@MercedesAMGF1 celebration!! #F1 #BritishGP #SilverStunners #Silverstone50 http://t.co/GPPoeAqjTq"
"1106";"Fantasic #BritishGP today @SilverstoneUK . Great win for @LewisHamilton !"
"1107";"RT @RedBullUK: #F1      <U+0661>===<U+0661>   ____¯__¯ <U+25D5>)_¯\_|\<U+30FC>|\__«´( <U+039F>_¯ )_¯¦)<U+0F54><U+0F5B>(_¯ <U+039F>_¯ )_¯¦)-«»-)¦)_One of the best days of the year #BritishGP #…"
"1108";"RT @F1nomics: .@damsracing Alain Prost &amp; Sir Jackie Stewart meet HRH Prince Harry #BritishGP http://t.co/ryTv6BNTuJ #F1 (via @JMIteam) @nic…"
"1109";"Esta copa se llevó hoy @LewisHamilton en #britishGP @F1 #F1 @MercedesBenzArg @MercedesAMGF1 http://t.co/vni1miIUcJ http://t.co/jvUUc0y4KI"
"1110";"@burn @Lotus_F1Team #WIN! @Lotus_F1Team race shirt signed by @Pastormaldo and @RGrosjean #F1 #BritishGP #FuelYourFire"
"1111";"Great British sport day #Wimbledon &amp; #BritishGP . Next stop @RLGCHoylake for the @The_Open @openhoylake2014"
"1112";"RT @IndySport: #BritishGP red flagged after heavy crash for Raikkonen and Massa. Both drivers walk away http://t.co/M7WZ9rBTym http://t.co/…"
"1113";"#Britishgp #Bemydate #Np #Wimbledon2014 #Uganda #Worldcup #Worldcup2014 #Arg #Crc #Ned #TT31819"
"1114";"RT @movistar_F1: Final del #BritishGP 1.Ham 2.Bot 3.Ric 4.But 5.Vet 6.Alo 7.Mag 8.Hul 9.Kvy 10.Ver 11.Per 12.Gro 13.Sut 14.Bia 15.Kob 16.Ch…"
"1115";"A few more photos from today's #BritishGP race at @SilverstoneUK .... #F1 #JB22 #PinkForPapa http://t.co/sFEy9WD9gE"
"1116";"Great day, top weekend. #Silverstone50 #BritishGP #Journalist @ Silverstone Race Track http://t.co/BweBwZXMjw"
"1117";"RT @F1SergioNez: Alonso-Vettel, el duelo del #BritishGP en #Silverstone. http://t.co/dKMAlOKZqf"
"1118";"The crowd went crazy when Rosberg retired! #Silverstone50 #BritishGP"
"1119";"Lewis Hamilton winning at Silverstone great race #BritishGP"
"1120";"RT @MercedesBenzInd: Congratulations @LewisHamilton on the fantastic win at the 50th British GP. #F1 #BritishGP #SilverStunners http://t.co…"
"1121";"Faultless drive by @LewisHamilton in winning the #BritishGP. Well done!"
"1122";"What a fantastic day of sport-not the results I'd hoped for but still fantastic to watch! #Wimbledon2014 #FederervsDjokovic #BritishGP"
"1123";"Race winner @LewisHamilton @MercedesAMGF1 celebrates with the team. #F1 #BritishGP #SilverStunners #Silverstone50 http://t.co/C0ffCXFzlJ"
"1124";"#F1 - Ricciardo: “Un giro in piu’ e Button sarebbe arrivato terzo” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1125";"The Best British Grand Prix Race review goto @Lightstoflag link:http://t.co/EcELSRnOBNThe Best F1 race review on the net#F1 #BritishGP ."
"1126";"#F1 - Raikkonen: “Dopo il fuoripista ho colpito un cordolo, poi l’impatto” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1127";"Planning to hire a #SuperCar? Check out our fleet of @Porsche 's here http://t.co/wnjZCdc9sH #BritishGP"
"1128";"#F1 - Williams, Massa: “Non ho potuto fare nulla per evitare Raikkonen” #BritishGP #SkyMotori #Formula1 #UKGP #Silverstone"
"1129";"""@LewisHamilton: #Silverstone #BritishGP #TEAMLH http://t.co/IUjLhdbnns"" @robstanchesters just for you mate<U+0001F60B>"
"1130";"#Silverstone50 #BritishGP today. http://t.co/oXcvm4fUmq"
"1131";"Nice one @LewisHamilton #Silverstone #BritishGP #TEAMLH you really did push hard and make up for it #4pointsbackinthis"
"1132";"“@MercedesAMGF1: There are simply no words... Lewis #Hamilton #Winner #F1 #Mercedes #BritishGP #Silverstone http://t.co/SeA4NsDKW9” Awesome!"
"1133";"Alonso-Vettel, el duelo del #BritishGP en #Silverstone. http://t.co/dKMAlOKZqf"
"1134";"@MattMurray20 Hi Matt. We're you at @SilverstoneUK #BritishGP today? Loved the pen footage with @LewisHamilton"
"1135";"“@LewisHamilton: #Silverstone #BritishGP #TEAMLH http://t.co/JPbzT95B3Q” Well Done Lewis"
"1136";"I uploaded a new track, ""Silverstone 2014; Poetic Justice"", on @spreaker #britishgp #f1 #formula1 #grandprix http://t.co/pzmISftArz"
"1137";"Jenson Button #Silverstone #BritishGP http://t.co/TPOUEffQlJ"
"1138";"Britanya'da Rosberg ""0"" Çekti Lewis Hamilton Kazandi ! :http://t.co/lxtseDKV84#F1 #BritishGP http://t.co/C0687YLUMK"
"1139";"Secuencia del accidente de Raikkonen y Massa en el #BritishGP disputado en #Silverstone. http://t.co/JTlkTaXALW"
"1140";"Great race and a fantastic win! Lewis Hamilton  #silverstone #britishgp #teamlh http://t.co/62PgXUdRyz"
"1141";"RT @sanyamathur29: Raikkonen crashed with Massa; Chilton under investigation; red flag; guardrail under repair *sigh* #f1 #BritishGP http:/…"
"1142";"Awesome day at Silverstone!! #BritishGP #TeamLH"
"1143";"Also the best race of the season so far! #mtvf1 #BritishGP #silverstone #williams #ferrari"
"1144";"Lewis #Hamilton wins #BritishGP  – but Fernando #Alonso and Sebastian #Vettel fight adds spark to Silverstone http://t.co/Ej6Z7hX3i3"
"1145";"RT @sebvettelnews: Sebastian Vettel with Kimi Raikkonen at the drivers parade earlier today #BritishGP #F1 http://t.co/MZochfeFFP"
"1146";"@LewisHamilton big upz on the win today #britishgp i been thinking you kl with me painting you champ !"
"1147";"Driver's parade pre race. Great to see boys up close. Fantastic @F1 @SilverstoneUK @LewisHamilton #BritishGP http://t.co/jsyi2Na2OO"
"1148";"Daughter just got back from Silverstone, had a great time so might have to do it myself next year.  #BritishGP http://t.co/AjxTJGWMrU"
"1149";"RT @suhailchandhok: #BritishGP was one of the best for a while! Thank you @alo_oficial for some of the most incredible moments! Incredible …"
"1150";"RT @razplus: Love all. #Wimbledon vs #WorldCup #BritishGP #tourdefrance http://t.co/HpWCA4ZdH4"
"1151";"Quality weekend at Silverstone, buzzing with the @LewisHamilton win! #BritishGP <U+0001F697><U+0001F697><U+0001F697>"
"1152";"A fantastic race weekend at the #BritishGP. We'll do it all again in a fortnight here on #SkyF1 with the #GermanGP. http://t.co/oxxvGcbSeB"
"1153";"Awesome to see @danielricciardo on the podium at the #Britishgp today. More of the same at Hockenheim please mate#"
"1154";"BF wins #BritishGP @NicoleScherzy I knew u could do it @lewishamilton Congrats on winning… http://t.co/VbwpFXMzRE    http://t.co/Hhqd7lEfWy"
"1155";"#Britishgp #Bemydate #Np #Wimbledon2014 #Uganda #Worldcup #Worldcup2014 #Ned #Arg #Crc #TT31818"
"1156";"My favourite sporting day of the year did not disappoint #Wimbledon2014 #BritishGP #gluedtoit"
"1157";"Finally getting my chance to catch up on an enthralling #BritishGP and it was well worth the wait! Brilliant race #F1"
"1158";"Why even have the option for exceeding track limits? Why not have a bit of grass or gravel before the Tarmac run off? #BritishGP #AskCrofty"
"1159";"RT @ermek_dzh: <U+041F><U+043E><U+0431><U+0435><U+0434><U+0430>! <U+041A><U+0430><U+043A> <U+043F><U+0440><U+0438><U+044F><U+0442><U+043D><U+043E> <U+0001F646><U+0001F44D><U+0001F44D> #MercedesAMGPetronas #TeamLH #BritishGP http://t.co/ZT1YTOaBSX"
"1160";"Great win 4 points! #backintherace #TeamLH #Silverstone #BritishGP"
"1161";"@LewisHamilton @MercedesAMGF1 well done. What a race! It'a been an amazing weekend at @SilverstoneUK . THANK YOU!!!!!!! #BritishGP"
"1162";"So pleased @lewishamilton  won!  #Winner #Champion #LewisHamilton #Silverstone #BritishGP #F1… http://t.co/P1w6ueYOBH"
"1163";"El accidente de Raikkonen pudo ser muy grave pero para @maxchilton la rueda casi golpea su cabeza #f1 #BritishGP http://t.co/POMCUZFLVr"
"1164";"Good to be back home feel knackered but had a quality weekend. Nice one @LewisHamilton great racing #BritishGP"
"1165";"Another highlight of #BritishGP was @RedArrowsUK Always a joy. @SilverstoneUK @F1 http://t.co/UqmNgxlrqc"
"1166";"Such an amazing day at Silverstone #RedArrows #Flying #Silverstone #BritishGP #Luffield http://t.co/LJuBQ6aZrr"
"1167";"Sunburnt to hell #illneverlearn #BritishGP http://t.co/eA2oq9Ustc"
"1168";"Half Britain was watching Wimbledon.The rest half cheering for @LewisHamilton. Whatte a race today. #SportsDay #Wimbledon2014 #BritishGP"
"1169";"Absolutely made up @LewisHamilton won the British Grand Prix #Silverstone #BritishGP <U+0001F1EC><U+0001F1E7><U+0001F3C1>"
"1170";"""From @F1Reports : McLaren F1 - British GP Race: <U+0093>Progress will continue <U+0096> we're on-track<U+0094> #BritishGP. http://t.co/7nRhBQwH4F #F1LiveStream"
"1171";"RT @simonwoodwrites: Getting on for 20yrs since I attended a #BritishGP at Silverstone. Always an event but I don't miss the traffic jams t…"
"1172";"SIMULADOR ESCENARIOS #BritishGP #F1 actualizado #PF1TR en:* http://t.co/kZK678GVOS* http://t.co/xN3q4cTI6X* http://t.co/1fKgqIHqWu"
"1173";"Absolutely fantastic day @SilverstoneUK  mainly thanks to @LewisHamilton and @JensonButton #BritishGP #pinkforpapa http://t.co/4lAflu6tUR"
"1174";"Unsere Mauer stand. Danke für euer Lob, die Anregungen und auch die Kritik! #rtlformel1 #BritishGP http://t.co/7bMOpfHjmY"
"1175";"Valtteri #BOTTAS the star of the Silverstone #BritishGP #2nd Next podium shall be the best one! <U+0001F609> <U+0001F31F>"
"1176";"Another great drive from @lewishamilton! #BritishGP #home #race #formula1 #ValtteriBottas… http://t.co/s7mqdxYqSL"
"1177";"#F1 #BritishGP - #TotoWolff: “It was a day of two halves for the team - a fantastic result for Lewis… http://t.co/BRnGVDRd5t"
