,0
438,"some of you say this race may boring, but when i watch Ricciardo livestream it is full of overtakes. GO RICCIARDO! GO RBR! GO MAX!"
439,"Shafwan Dito Thats because all the cars he passed are 1 to 3 seconds slower per lap ;D. Untill he comes to max, Ferrari and Mercedes, he can just drive and chill. He wont overtake max ever when max is in front. Not with the same car. Even the way faster Ferrari of vettel couldnt do it."
440,"Do you think Hamilton is the best British F1 driver ever?
I never think so.
Nowadays F1 destroy great F1 history. "
441,"'Minimal talking"" 😂"
442,I heard James Bond is from england. I heard he hates ferarri.
443,"*INSERT JAMES VS NIKI*
*INSERT CHOCOLATE SENNA VS SPOILED GERMAN BOI*"
444,"I really love that Liberty Media is clued up and makes these highlights available, it's fantastic. I don't know if they need to (or should be) speeding up the footage though, whether it simply be to show more, or make the sport look faster than it is..."
445,Karma
446,Great race!
447,I find the red bull drivers more impressive than the Ferrari's and the Mercs. what's making the difference is the performance of their cars.
448,Bad luck for Kimi continues........through all his career.....(-__-!!)
449,"Alonso dead, not big surprise"
450,3:08 You can hear Fernando's spotter's soul being crushed right in this moment.
451,This Crofty has an obnoxious voice when he yells. Though I understand it's for excitement but it is.
452,The torpedo's back at it again
453,When Ferrari is just so good in the first part of the season but sucks up in the end
454,"Alonso: No power!

Team: maybe we should move to Formula E, as we're just ""embarrassing"" ourselves in F1"
455,it's a Maldonado's fault..
456,Ferrari es una vergüenza
457,smh ricciardo playing on easy difficulty
458,I just can't take to Hamilton he's to cringe
459,david croft will never be as good as ben edwards. go back to 5live innit
460,poor Alonso........
461,This is the commentary we need in the US.
462,"I like the guys from NBCSN, i think they do a good job"
463,Go Kimi
464,LOL I'm loving the fake accounts!!!
465,Super enjoyable grand prix.  The battle between Vettel and Max was great to watch.
466,Sebastian Vettel win win
467,wao wao beautiful great race:congratulations Halmiton peace
468,Bottas.  biggest douche ever
469,"apparently, Lewis was interviewed by someone who's much, MUCH faster than him

Owen Wilson ☺"
470,"6:20 who is that girl on the podium stage with her cell phone in portrait mode no less?  Lucky fan?  trophy presenter?  


Seems odd."
471,Can we all just appreciate that Verstappen finished the race?
472,Ricciardo was a fucking beast this race
473,bad day for ferraris
474,"Why was Verstappen held so long in the pitstop? too bad he didn't make 3rd, he looked to be in good shape today."
475,"Strong performance by Ricciardo, Hamilton, Bottas and Hulkenberg. Sad day for Alondo (again) and Palmer. Red Bull still has a huge gap to the top 4"
476,"Well done, Dany! As instructed!"
477,shit!!!!!!!
478,Why does Formula One remind me of pro wrestling and NASCAR? There's something fake about this shit.
479,Defender of the day: Max Verstappen
480,"You know what really bothers me? That no one tries to defend their position, at all costs. Only Verstappen does, but even when he does it he still gets stick. That's how rare it has become nowadays; people think he's doing something wrong. 
I think Senna would've got hammered by the comments if he raced in this era. He was harder to get past than the Berlin Wall, no one was able to overtake him. Nowadays they almost move over to the side when a faster car approaches. It's so silly."
481,Minimal talking. Maximal hitting.
482,"Those Mercedes cars are so good and fast  , does not matter who you put in them they win every time , well done Mercedes ."
483,I'm always impressed by how constant Ocon is in every GP... If only he get a better car !
484,And now he's starting 5th in the Alpine
485,Ocon
486,"Kvyat can apply for a job at McDonald's when he's kicked out of his seat next season. 

He's already practicing the constant drive throughs."
487,"In the words of Adam Sandler:
""YOU BLEW IT!!!!!!!!!!!!!!!!!"""
488,مرحبا اي قناة تبث سباقات الفورميلا 1 مجانا وعلى اي قمر في الشرق الاوسط
489,Man I would hate to be a Spaniard around Kvyatt
490,Here comes the Hamilton haters....
491,Vettel fucking sucks!
492,I fucking hate Lewis Hamilton. He's a flog.
493,Vettel fans seem to be hiding from this comment section this time
494,"Wellington? Wasn't that Hanger? 
That really dates me."
495,"Wellington Straight? Where did that come from?
Guaranteed to disenchant the French. I like it already."
496,Hamilton is only good if he drives a good car. I would love to see him driving a Mclaren-Honda
497,Left front tire broke :/
498,I hate those easy wins !
499,thanks Lewis GodBless you too .. You are the living legend of formula 1 .. what a time to be alive and see you shining
500,Can we take a moment to appreciate Riccardo doing an F1 season's worth of overtakes in one race?
501,Give Ricciardo an extra 30hp and it won't matter where he qualifies he'll be top 3 every race (one eyed Aussie here!)
502,THAT'S HOW YOU DO IT!!
503,"Max doesn't even play around👏👏
and how about that Bottas,2nd position from 6th or wherever the penalty placed him 💪💪"
504,In other news. Hamilton investigated by the FIA for dropping nails on the circuit.
505,British F1 fans are such bandwagons
506,Hamilton made this look easy 
507,Can we please acknowledge Nico Hülkenberg finishing in P6?
508,i hate Croft's voice
509,didn't kyvat get a penalty for rejoining the track dangerously good job vettel moved out to ovoid max
510,get rid of Kvyat
511,All my thoughts are with Jolyon's hydraulics
512,I only come here for the fake accounts
513,Hamilton does it again to try and take back the Lead in points again for another Championship
514,Crofty must be the worse commentator.
515,"And Mercedes has again the fastest car... i love f1 and i really appreciate the work mercedes is doing, but what is wrong with ferrari... they started so solid and now it seems like no updates are coming anymore (c'mon 15 hp update wasn't even worth).... the have to overwork the complete aerodynamics of their car until Belgium"
516,Anyone else just want Alonso to win a race?
517,Come on Renault. Give Palmer a good car. I bet he could of been fighting with the Force India's today.
518,"it seems like i have jinxed 2 races already. in baku i told my friends ""I don't think red bull will win a race this season."" and later i told them "" imagine, lewis having a puncture in his home grand prix."""
519,"Funny how so many are complaining about Vettel's complaints, completely ignoring that 80% of the driver field is doing that. Liberty Media is just showing mainly the team radio of Ferrari and Mercedes. And since the two Finns are well known for their sparing of words, it's just Hamilton and Vettel with complaints all the time. Get over it, ever watched football?"
520,get well soon martin brundle
521,"Recent footage shows how nintendo is sponsering bananas, red shells and bob-ombs to kvyat. He also gets a star upgrade for not damaging his car if he hits others."
522,ferrari still the best...
523,5:52 how the mecanic gets his hands on his head
524,We want the return of Paul di resta in F1 :(
525,I'm honestly sad for Alonso. Poor man.
526,I fucking hate Hamilton
527,Honestly ?
528,Not a really enjoyable race with some exceptions like Ricciardo and Bottas!
529,What about Palmer?
530,"I believe if another team picks up Alonso, it may be a major advantage to them. I say that solely because I'm sure he has some rage built and he's wanting to compete. Any team would give him a better chance than Honda surely."
531,What a race today.
532,nobody can stop bottas that's it. He is gonna win
533,well done Lewis 👏
534,Get well soon Martin Brundle.
535,I wish it was possible to watch entire race through youtube :(
536,Vettel's front left defining jump start. It went off before it should have xD
537,"""Minimal talking"""
538,"puncture! puncture! puncture! that was the best part of the race, where's the vettel fans?"
539,"Wow, bad luck Ferrari."
540,This shit is rigged
541,ya think
542,Hah. Karma seb
543,"From a massive Vettel fan, congratulations to Lewis Hamilton for the race victory. He was clearly the best today (and yesterday) and deserved the win."
544,"Fucking hell, Scuderia!!!!!!!"
545,I like how vetel cries when somebody else pushes him out of the track...  like he does always when they are going to pass him
546,ferrari fucked up their tyre strat :/
547,What a fuck up by Ferrari.
548,Palmer ones more without points! Robert Kubica must back!
549,Lewis Halmiton ✌👌😎
550,In my opinion Bottas drive wasn't anything special. The first five cars should be quite easy for a Mercedes to overtake and he didn't have to push too much to close the gap to vettel as he was stuck behind verstappen. Then he was lucky that raikkonen had a tyre problem. And it isn't that hard to overtake a car when you have a drs and a boost button that makes you go at least 20km/h faster on the straights. I don't like the boost things. Not in qualifying and not in race. It should only be acceptable if they can drive with that boost on during the whole race. Not a Hamilton hater just want to see good racing. With that said it still was a decent race. Not as good as Baku but better then some other races this season.
551,Riccardo had a amazing race
552,has Alonso even finished one race?
553,my left front tire is.........broke. lol
554,"Hello, iam new to this sport. Can someone guide me.
My brain is damaged."
555,"2016 vettel: Bad
2017 vettel: EVEN BAD!"
556,"Kvyat crashes into Sainz putting him out of race.

Palmer's car broke during formation lap.

Nando didn't finish the race.

Nothing new really ..."
557,"Can someone ban kyviat from driving again.. insane.. and switch alonsos car with his team mate, wth why is he always retiring?!"
558,Kvyat is getting quite a reputation
559,"I have no idea why it is in my recommendations, but I've watched it all and, I think, from now on I'm an F1 fan"
560,welcome
561,all those drivers are pussies!
562,Why Perrez and Ocon were so slow compared to Riccardo when he passed both off them?
563,"One of my friends is a Vettel fan. He called Verstappen a son of a bitch for defending like that. He won't listen to me, but he might listen to the comments on that. Can you tell him to stop watching F1?"
564,"Seb / Kimi - Tyre fails/punctures/whateverhappened

Same tyre. Same part of the track. :("
565,"the torpedo strikes g
again"
566,That tyre lock during Bottas overtake cost Vettel his tires
567,Get well soon Martin
568,"what can i say!

FUCK YOU HAMILTON you FUCKING PRIMADONNA"
569,"LOL fuck the shitty ferraris, Mercedes all the way, great win!"
570,"I just feel like German engineering is better, just sad because Vettel is the better driver."
571,Wow Max finished lol
572,i wish murray walker could have stood in for brundle.
573,"* Waiting for Vettel's fans to blame someone for their driver's defeat * * WAIT, Nothing to blame * 😜"
574,Pirelli
575,Max actually finished 😳
576,Verstappen's move on Vettel was the move of the race for me.... Awesome! Just *loved* it!
577,Cyka Kvyat!
578,RIC last to 5th，way too good
579,MWUAH..
580,kvyat is the new maldonado
581,fuck this race
582,without martin，the commertry become much less salty
583,Failrrari
584,6 minutes of beauty. This is f1. Pretending to be Verstappen in the comments is not f1 however😂
585,its boring again
586,"Ferrari's tires were been sabotage!




 just for the sake of argument... 😁"
587,Kimi was obviously the most excited on the podium
588,"""F**k...my left front tyre... broke"""
589,I love f1 i just really dont want halo cockpits!! I mean come on!
590,Next time Kimi :( I felt bad for him.
591,No power No power
592,feel so bad for vettel. hopefully he'll come back in Hungary
593,he will :)
594,Fuck off Pirelli
595,"Yandere Player FIA asks to Pirelli tyres' requirements, if it was Bridgestone or Michelin or Hankook or every other brand in the world it would be exactly the same. (And to everyone readings, yes, it's a copy and paste)."
596,poor kimi... he drove really well
597,"Pre-race Palmer can finally score points awesome.
2 min later
ARE YOU FUCKING KINDING ME."
598,Can we all appreciate the way Bottas made love to those tires all the way to 2nd?
599,Joleon Palmer how I pity you
600,Hamilton's haters are crying hahaha
601,I love it.
602,il les a ramassé à la petite cuillere monsieur la Fourchette
603,*👑 King Lewis the 44th👑*
604,"I must say, i am very impressed by Daniil Kvyat's performance lately"
605,@Daniil Kvyat Privet Daniil
606,"@Daniil Kvyat i'm damar adjie fadlan, nice to meet you Kvyat 🏁🏁"
607,@Daniil Kvyat hi daniil did u watch this 2017 highlights while waiting for this Sunday's race in 2020???
608,"Hey Maldonado, what do you think about the Kvyat's replacement Max Crashtappen? He is doing a great performance isn't he?"
609,Pastor Maldonado Yeah too bad that He got kicked out even before the end of the season.What the hell is wrong with Lotus and Toro Rosso?Why did they kicked out the new f1 legends?! (Forget Fangio Mansell Prost Senna Schumacher Alonso Hamilton)
610,Ferrari is old!
611,"hakuna mutata They did, and even Mercedes upgrades the car, but this is a power track where Mercedes and their drivers have some datas more then the others since they present and test their car here, the Mercedes is a car studied and suited for this particular track, and they even had the luck for Ferrari's bad luck. If they raced in Fiorano or Ferrari tested in Monza they would smoke the opponents because they would have that knowledge in more too about the car's behaviour with the track and a car ""perfect"" for the track (just like Enzo Ferrari wanted ""every car has to be perfect for this track, or it won't be produced or it won't race""), ""unfortunately"" they have since 1972 Fiorano's test track that can't host an F1 race."
612,they need to upgrade their engine.
613,"Jay Paul Hernandez Yes, it's the only team entering every race since Silverstone 1950 and racing since 1929, even Enzo Ferrari is old with his 119 years."
614,great race
615,"Decent race I suppose, bit boring at times though it got spiced up at the end. Hate to see what is happening to Alonso, one of the great drivers of the sport get DNF week after week due to being with such a shoddy team, I mean, it's sad also to see McLaren become such a second rate team."
616,exelente carrera  lamento lo de Ferrari
617,"4:20  ""De puta madre"""
618,"hamilton is great driver, but i hope Max breaks all his records."
619,He will.
620,"""Torpedo"" did it again, great job!!!!"
621,Honestly...too many laps.
622,"Normal hybrid service has resumed. 
Mercedes 1-2
Ferrari fiasco 
Active torpedos."
623,"The Sidz Mercedes, a team testing and presenting his car in Silverstone and Bottas (not taking away anything from him) having a faster and fresher compound with less fuel, so less weight and so less degradation, and both the Mercedes' drivers helped by their rivals' punctures at the end of the race."
624,The podium music starts and the finns start to drink. Brilliant :D
625,"When someone do ""YES!"" or ""Never give up"" t-shirts?"
626,Max Verstappen:NO!
627,Congrats Lewis...superb victory..especially after bad luck in Baku and then having to take a grid penalty..Good luck ahead!!
628,"6:06 Thank you Liberty Media, for listening to us fans"
629,Hamilton be lucky he is in the fastest car this is one thing and second thing is Vettel must have a pitstop
630,"""minimal talking""??!!!"
631,If a driver goes from P19 to P6 that easy that there is something really wrong with this whole F1 shizzle.
632,Where is the video from the gopro who was on the champagne ?
633,Lewis scampered off into the distance never to even be threatened by anyone and you call this a RACE?? Jeez. Yawwwwn.
634,"Give him the SAME car as EVERY other current driver and I'd bet my limbs and eyesight that Alonso would trounce Hamilton. Hamilton's no legend, (DESPITE the 'impressive' numbers), I assure you."
635,Kvyat really likes bowling with Spaniards
636,"First me now Sainz. Honestly what are we doing here, bowling?"
637,"Yes, he does"
638,"Yes, I do"
639,"you kno the trace is exciting when the highlights is more than 3 minutes long...
great race tho"
640,what happened with palmer did not saw the beginning
641,"They call me TERMINATOR because...






I'll Be Back !!!!"
642,"2:16 * Vettel pushes Verstappen all the way off the track *
- 5 second later 
* Verstappen pushes Vettel off the track (Payback) *
* Vettel gets mad and puts his hand in the air *

Vettel is a 10 year old whiny bitch"
643,Petilsan Oh and remember Hamilton in 2012 Venezuela?
644,"Petilsan Seriously, fuck off, I hate it when people keep saying this when Alonso, Senna, and even Raikkonen complains a lot more but never gets hate, that's fucking bull shit, and every driver complains, jesus fuck."
645,"FerryXtheMercy max was never gonna let him past easily, i knew eventually vettel would end up on the grass😂"
646,"Alves Gomes Me too, though a bit surprised no-one mentions the most appropriate word for that kind of behaviour: (what a) hypocrite !
Loved Max' reaction over team radio though: ""he wants to play bumper cars"" 😂"
647,Petilsan so glad im not the only one who notices vettels bitchy behaviour. its fine when hes doing it but when the tables are turned he cant take the heat.
648,Crofty called 2 different drivers Paul di resta
649,tire sabotage confumed
650,The early undercuts costs Ferrari in the final laps.
651,Pirelli sabotaged us.  Soft tyres should last better!!!
652,"Zikri Hakim 
Yes indeed it did so."
653,"My reaction to Kimi's tyre was pity and disappointment, my reaction to Vettel's tyre was smug laughter"
654,I know this is old but I still laugh every time I watch it
655,Tom Salmon same
656,British fans better out there according to Hamilton. Better than the Italian fans? Yeah... I guess he is simply wrong.
657,"I would say British fans are equal to Italian fans, there is no way to prove which is better other than your own bias, so get your head out of your ass and just accept that they are both passionate about the sport."
658,"Good to see the torpedo doing what he does best... jokes aside, how the f**k does he still have a seat in f1 ?"
659,"Nigel Mansell Yea I don't think he'd of made it to F1 in the first place without being quick, but I think his recklessness outweighs his quickness by far !"
660,Thanks Pirelli!
661,"TeddyLXIX Thanks FIA, they asks to Pirelli tyres' requirement."
662,NO! WE COULDN'T SEE SHIT BECAUSE OF THAT CAMERA ANGLE !!!!
663,can any one tell me why Alonso didn't start at pole.. he did finish p1
664,My best race this season
665,What kind of name is jolyion. damn
666,Best!
667,Yeah Lewis what win #LH44 hammer time
668,wish hamilton crashed in a massive fire ball..
669,"not really... until blacks aint a cost on our societies, you will get it..."
670,What a loser you are. Don't you think it's bad that i know the colour of your skin without seeing it? so predictable and so despicable.
671,is no one going to talk about how impressive of a drive Ricciardo and Hulkenberg had?
672,"The battle who is winning the Championschip is ofc really interesting - i think since the last  3-4 years. But ist just a battle of 3 people. They have obviously the fastest cars. Imo it would be a great sport with the sams cars, well same motor units and some strict rules would be fine."
673,get a better commentator than fat twat croft.
674,Yuck!!!
675,dang this is so boring. no wonder no one watches f1 anymore
676,cya then!
677,"Bam, Verstappen finishes, fourth position already :D That's just great, gj Max"
678,This race cut me deep
679,The Torpedo strikes again
680,Can we just age restrict YouTube? I'm sure these fake accounts can't be controlled by anyone over 14.
681,"Team: Good job! Bottas :""Minimum Talking! "" Guess the Fin's will always be Fin's"
682,Karim Akele Bwoahttas
683,i just love f1
684,thank god vettel got a puncture today. would've been so annoyed if vettel got away with getting a podium out of nothing!
685,"Just realizing:
When Vettel pushes Verstappen wide, Crofty says: ""Verstappen goes off the track"", while Vettel clearly pushes him wide.
When Verstappen does the same at the chicane, he says: ""Vettel gets pushed off the track."" 

Biased commentary much?"
686,"Impossible....  They are  BRITISH,  they often don't even like Vettel and Ferrari but support Hamilton and Mercedes,,  why would they favor  Sebastian over Max?"
687,"SSsvaedsg eymxgs Yes, but still Crofty tends to dowplay Max his actions quite often. Also, he's quite arrogant for someone who has very little racing experience, he needs to tone it down a bit and listen to the real pundits lik Brundle."
688,"croft is a joke, bad one, but i think they cut away in the middle of the corner, so at the time it wasn't so clear"
689,Why should he?
690,"I think it's down to the angles they had at the time, when they saw if from above they said that Vettel pushed Max off."
691,God bless you Hamilton
692,0:07 ask Alonso he would tell you how it feels
693,Yes it is very upsetting.
694,"Stroll: I'm the new Maldonado
Kvyat: Bitch please?"
695,Max Verstappen = aggressiveness + intelligence + skill
696,"Car Guy tell me when he cried for blue flags and he doesn't blame others really often and when he does he's usually right.

So just keep it down a bit hater"
697,And arrogance and blamikng others and crying for blue flags
698,"Dietrich, it's all a part of a recent Liberty deal, remember? Dany is liberating F1 with his driving. Of course, we're set for some lucrative percentage as a result, so I know what I'm doing."
699,No doubt about that
700,I got skillz too!
701,I started watching F1 this year..I've been missing a lot the past years
702,Wehrlein and Ericsson are such bad drivers.......
703,Kyvat again really?
704,Hamilton is just too good....
705,"Gatoula GR alright calm down kid, no need to throw your toys out the pram. And it was the previous race at Austria he changed his gearbox, which he got a 5 place penalty for. It was Bottas who changed his gearbox at Silverstone and also got a penalty. Now let's talk about the lack of black flag for Vettel driving alongside Hamilton and ramming into him..."
706,j4w7 MERCEDES IS PAYING FIA GOOD THATS WHY HAMILTON WINS SOMETIMES LIKE THIS RACE HE CHANGED GEARBOX WHERE IS PENALTY??? HE MAKE SOMEOME LATE HIS BEST LAP WHERE IS PENALTY??? MERCEDES IS PAYING FIA
707,No.1 Hardstylebaby that may be true but you can't deny the skills you see consistently
708,j4w7 correction Bottas and Hamilton are good with good cars
709,"around Silverstone he is, but there is still so many races to go, i expect it to still be close."
710,"What the hell is Kvyat doing in the Toro Rosso, I hope he gets out of F1 soon, and maybe replaced by Gasly."
711,great drive from Ricciardo
712,i didnt like the race. In lap 50 i started to hate it.
713,Ferrari fan?
714,Worst fucking race... Really worth the dislike.
715,As I said this kind of shit happens to Ferrari only. What a coincidence... easy to be a fashion Mercedes fan you know. A blind camel without legs could win with that car..
716,"Let me guess, Ferrari fan? Their fans stick out because they always start crying and throwing a hissy fit when things don't go their way."
717,No I can't live without it... Really unfortunate that these kind of shits only happens with Ferrari... Bullshit at its finest.
718,Watch another sport then
719,Without that lock up vs Bottas Vettel would finish 3rd!
720,Both Bottas and Raikkonen always drink before they start spraying it😂❤️❤️
721,make custom thumbnails!!
722,once a 4 time champion NOW A FIVE TIME CHAMPION ITS
723,"Poor Alonso ... there where better teams haha, he's still talented af"
724,Driver of the day: Daniil Kvyat
725,Kvyatorpedo
726,"I wonder, if that huge lock up from Seb caused the Punchture..?"
727,xLeThal -SmokE It helped.
728,Mercedes have found their dominance again... they've overtaken Ferrari finally.... what a shit race it was for Ferrari 😔
729,"carbonfighterfan96 Mercedes presents its cars in Silverstone, so they test them on this track, it's a car studied for this circuit, it's like if they raced in Fiorano instead of Monza or Ferrari would have tested its cars in Monza."
730,Why did Verstappen pitted in lap 50? He could've gone 2 more easier laps and get 3rd place.
731,#palmerout
732,"He really needs to find a new way of starting a race other than ""it's lights out and away we go."""
733,Youtube must be rolling in cash when all of these people make new accounts for every single race to make jokes about the events. :D
734,See vettel... karma is a bitch..
735,If this race had rain 🤔
736,"Awww, Hamilton didn't role his car, what a waste of a shooting star!!! Anyway there's always next race"
737,He's not shit that's why.
738,I love races like this where the drama which ISN'T contrived by the buffoons in race control.
739,Hello guys Im another stupid fake account and Im doing this because its so funny and I can earn some likes. *INSERT STUPID F1 MEME* BWOAH HONESTLY ONE MORE LAP
740,Mate you're killing it :D
741,God damn Daniel what the fuck are you doing...?
742,I loved this race! Screw you vettel!
743,"Honestly what are we doing, bumper cars or racing?"
744,Except Vettel and Verstappen fight and the blown up tyres of the ferraris the race was boring as fuck.
745,4:12 Ouch! :(
746,@Simpai he is now
747,It's funny cause he's flat
748,This was funny because you're not a fake driver.
749,"Man, is there a way for Fernando to sue Mclaren-Honda for wasting 1 year of his life?"
750,Yeah go back to 2007 and 2008 and not cheat so the FIA will now accept his bribes.
751,Didn't jump a start this time
752,"Valtteri Bottas 
you didn't jump it last week"
753,Good for you
754,Anyone else hate both vettel and hamilton?
755,yea
756,How did Ricciardo overtake Hülkenberg? They did not show that even in the race.
757,"I wish we could just agree to stop upvoting the fake driver comments, the joke is getting really old really quickly"
758,It's lights out and away we go
759,"Kvyat crashes ✅
Alonso retiring ✅
Stroll not in the points ✅
Palmer again bad (this time not his fault) ✅
Force India constant ✅
Hamilton wins the race ✅
Räikkönen unhappy ✅
Vettel unlucky and unhappy ✅
Verstappen retiring ❌
Hülkenberg unlucky ❌"
760,Hulkenberg unlucky ✓
761,"@Amir Penkar Kvyat crashes ✅
Alonso retiring ❌
Stroll not in the points ❌
Palmer again bad (this time not his fault) ❌
Force India constant ❌
Hamilton wins the race ✅
Räikkönen unhappy ✅
Vettel unlucky and unhappy ✅
Verstappen retiring ❌
Hülkenberg unlucky ✅"
762,"Well well well, 2020 presents some similarities"
763,@Sena Ibrahim hi bro i remember this one a lot 3 years ago
764,Lewis Hamilton being 1st in all the laps without loosing places
765,Can we just have the rest of the season in baku?
766,Il mondiale è  ancora lungo Mercedes non avrà vita facile. FORZA FERRARI
767,some are already smoking while starting..
768,I really hate Mercedes f1 team. Really boring. Not good for the sport.
769,"it's not they're fault if they are so good ... the other teams are just less competitives , and dont't forget that Ferrari is going well -.-"
770,Ferrari's tires weren't strong enough to resist the shockwave of that Torpedo..
771,"Let Mercedes, Ferrari and Red Bull start from the back, much more interesting :)"
772,"Race made me feel kind of nostalgic... Hamilton in a silver car and Kimi in the red car at the front of the pack, just like the old days!"
773,That ending was crazy
774,Great performance Daniel 👍
775,"Great drive from Hamilton he had by far best car today but deserved standing ovation. Shame Ferrari lost both cars with 2 laps to go especially Kimi :( Also brilliant fight Verstappen vs Vettel and superb drive from Nico Hulkenberg and Daniel Ricciardo. That was some race, great job Silverstone"
776,How much horsepower is the engine making and the MGU-K and the MGU-H are making? Why are the cars still slower than the 2004-2005 season cars? Its been 13 years since then....
777,"MrJuggernautishere Apart for different layouts, you have to check the qualifying laps, in Q sessions teams are allowed to use all the performance of their cars, for race session you have to consider that F1 sporting regulation changed, for example the refueling, cars were lighter during all the race and never had to preserve the fuel (even if in some cases most if the cars run out of fuel) and tires, so less degradation and more tries for the quickest lap if the race, while now they have to race with 100 Kg of fuel and have some remaining for FIA's fuel test at the end."
778,"an other boring race. Thank god i didnt cut my sleep short to watch this. F1, extremely boring since 2014"
779,Russian torpedo best torpedo.  100% reliability.  Never misses target.
780,Mercedes slashed ferraris tyres before race
781,Boring GP and now the championship is over... Not worth to watch the remaining races
782,"Alberto19951995 it is intense, but When Baku and Le mans Motogp in the same day i was going crazy and i make it as best weeknd ever. because both races were exciting asfuuuuuck"
783,I restarted watching Moto gp since 2015 and I find it more tense than f1.
784,"Alberto19951995 watch MotoGP then mate, every race in MotoGP always unpredictable"
785,"asimb0mb yup, but if you compare with motogp championship they had 5 Riders fighting for no.1! and they all closing each other"
786,We have three drivers fighting for the championship. Not sure how that's boring.
787,"'Honestly, what is Kvyat doing in f1!'"
788,kan je beter doen? gaar maar lekker biertje drinken. honestly!
789,fuck UK
790,Daniil Kvyat does not belong in Formula 1!!
791,"Kimi:fuck me.
me:Gladly, what time."
792,was Brundle sick today?
793,Hamilton has glitched tyre wear
794,2020 british gp disagrees
795,Good luck to both Kvyat and Palmer finding a seat for next year... Not a snowballs chance in hell.
796,"you do bring up good points, havent heard that rumor yet, we'll see what happens. Usually trade rumors start after the summer break, around singapore, lets see what happens this year"
797,"Also, he seems to be a little scared of F1 cars, you saw what happened when Kvyat tried to come back on track in Baku (I believe Baku, could also be another race)"
798,"Petar P Carlos senior was spreading rumors that Verstappen ""signed with Ferrari"", just so Red Bull and Verstappen got into a argument and he could take the seat.

Rumors are now that he will be fired."
799,"nah, Carlos has had bad luck, Danny has screwed him over many times this season..."
800,Petar P and Carlos.
801,"Why Hamilton won again i wanted  Sebastian to win, that's so unfair!!!!! (Like whoever agrees!)"
802,im a mclaren honda fan our engines suck we dont get pole now do you see us wienie no we make memes about mclaren
803,"+Chris Parker   Because Vettel gave it all whilst Hamilton was just cruising,   yet  Hamilton had luck of having the fastest  car,   and those damn Pirelli tyres sucked so bad taht they blew on both Ferraris!!!"
804,It's Hamilton's home so he have rights to delight his home fans!
805,Chris Parker Because i am fan of Sebastian Vettel and Ferrari!!!!
806,TheodoraPaoG13 how is it unfair lol?
807,"Hamilton is a great driver, but his has such a fake personality. Always kissing ass and being politically correct. Boring as shit."
808,"wouldnt be a 2017 grand prix, if both mclarens finished"
809,Minimal talking.
810,Shrike typical Finn. Thats what channel 4 commentator retorted
811,Guys don't listen to Carlos its me that will go to Red Bull next year!!
812,"Daniil Kvyat 
you absolutely suck"
813,Dr. Helmut Marko it's what everyone expect :v
814,I see you have great analytical skills over there
815,Dr. Helmut Marko hey marko put kvyat on rb and let sainz in str :V
816,For sure
817,CAN YOU BELIEVE IT PAUL DI RESTA???
818,the torpedo is back twice
819,Vettel leads only by 1 point now. I can't wait for the next race!
820,Lol
821,"+Gold 999  True,   Mercedes got them and even the Italian tyre manufactorer in their pocket.  What a load of bastards.  If the Scuderia wins this they've really deserved it more than anyone and it will show great strength,  against all odds."
822,He leads by 8 points
823,Are you predicting the future?
824,"vettel's will win, but the steward will help hamilton and kill vettel...formula 1 ass"
825,Fuck the police!
826,wheres the Onboard footage from the main man the Torpedo himself Daniil Kvyat?
827,"hamilton affected grojeans lap in qualifying----> no further action needed.
verstappen passed vettel by going outside off the track----> no further action needed.the rest are just history.well done fia.nice job."
828,When people say Ferrari had a disaster at the end but they only lost 9 points...
829,"Luke Montgomery Well there are people saying the championship is over, but vettel only has a one point lead. And a great race from bottas coinciding with a bad performance of the two leader will see him catch up"
830,"Well Vettel all but lost his lead in WDC and Mercedes is alreayd more than 50 points ahead of them,.....so ye I would call that quite bad weekend, especially since it seems that once again Ferrari has failed to keep up with development race."
831,Watch how all the top comments are from fake driver accounts. WHAT A TIME TO BE ALIVE 😂😆
832,My tires bwoahk
833,"I know Lewis will go down in history as one of the greats. But fuck that guy. I never hated on vettel when he was dominating RB and won 4 titles, just because he was dominating.

But I'll hate on Lewis. Always thought he was an annoying asshat that was never a concern because he was at a uncontentious McLaren or 2013 kinda up there Mercedes. 

Now that he's got the car and at the forefront I hate his fucking guts.

Alonso should be up there. But he makes the most unlucky/stupid moves. He'll give me vettel again. Now I'm rooting for him to escape the argument that the RB car was the sole reason why he had so many titles."
834,"Vettel will never escape the fact that he couldn't do jack shit in a car without a blown diffuser. When his RB didn't have it he was getting his ass beat by Webber and then when it was banned in 2014 he got destroyed by Ricciardo. Its a noticeable difference, he simply does not drive the same way now that he does not have a car on rails."
835,"🎵TorpedoMan, TorpedoMan, he plays bowling with his car🎵"
836,Honda needs to put a VTEC in the McLaren. 😂
837,Koji Takata I'm pretty sure turning the engine into a potato would do better than the current mcclaren set up XD
838,"Hamilton dances onto the podium 
Raikkönen was like ""Bwoah, what is he doing"""
839,GP Brazzil O Melhor Ayton Senna
840,Kvyat's torpedo has gone too far
841,Brazzilll
